nome,overall,gols,assistencias,finalizacoes,precisao_finalizacoes_pct,passes,precisao_passes_pct,dribles,taxa_dribles_certos_pct,divididas,taxa_divididas_ganhas_pct,impedimentos,faltas_cometidas,posses_bola_ganhas,perdas_posse_bola,minutos_jogados_media_time,distancia_percorrida_media_time_km,distancia_corrida_media_time_km
Jefferso! Lerma,75,0,3,1,0.8650,90,67,2,100,3,0,0,0,1,1,73,"7,0","0,7"
Daniel Munoz,76,3,1,1,0.86550,9,89,6,100,1,100,0,1,4,1,73,"8,2","2,0"
Jefferso Lerma,76,1,0,1,0.8650,15,93,10,100,1,100,0,0,5,1,93,"9,8","1,6"
Jean-Phi Mateta,76,1,1,3,67,5,100,3,100,1,0,1,0,1,0,50,"4,1","0,3"
Jefferso! Lerma,76,1,,1,0,20,100,17,94,2,0,0,1,3,0,46,"4,5","0,5"
Eberechi Eze,80,0,0,16,17.31,38,89,38,82,1,16,0,0,1,12,117,"2,1","1,4"
Richards,,1,1,1,0,7,100,3,67,5,60,0,0,7,0,93,"9,3","1,4"
Anthony Gordon,75,1,3,1,100,11,82,10,90,0,0,0,0,1,2,93,"0,9","2,1"
Elorran Nycolas,67,0,0,2,50,5,80,10,60,2,50,0,0,25,4,24,"2,8","1,0"
Anthony Gordon,75,1,3,1,100,11,82,10,90,0,0,0,0,1,2,93,"0,9","2,1"
